area,perimeter,corners,label
27.1,15.7,3,triangle
9.5,14.7,3,triangle
14.2,20.0,3,triangle
13.2,21.3,3,triangle
12.9,14.9,3,triangle
30.7,12.2,3,triangle
33.9,19.5,3,triangle
15.7,23.7,3,triangle
31.0,26.7,3,triangle
32.9,22.0,3,triangle
22.4,26.7,3,triangle
14.9,25.8,3,triangle
31.1,15.5,3,triangle
14.0,25.9,3,triangle
28.8,23.7,3,triangle
25.6,16.4,3,triangle
34.0,24.8,3,triangle
14.5,25.8,3,triangle
30.4,16.8,3,triangle
22.5,20.4,3,triangle
18.1,22.0,4,square
33.5,26.1,4,square
23.1,23.1,4,square
38.9,21.0,4,square
21.2,20.3,4,square
25.4,14.4,4,square
16.4,21.5,4,square
17.0,24.0,4,square
30.9,29.1,4,square
30.0,21.0,4,square
19.8,21.8,4,square
23.7,22.3,4,square
16.1,20.5,4,square
27.4,23.3,4,square
33.3,15.1,4,square
28.8,21.8,4,square
41.1,23.8,4,square
34.5,25.9,4,square
24.0,20.9,4,square
40.3,18.8,4,square
15.2,24.1,0,circle
40.0,21.7,0,circle
17.6,29.5,0,circle
31.2,16.9,0,circle
25.0,20.5,0,circle
42.7,25.5,0,circle
46.4,30.8,0,circle
25.5,18.7,0,circle
44.6,26.4,0,circle
26.1,16.7,0,circle
41.8,27.3,0,circle
41.4,19.3,0,circle
36.6,18.4,0,circle
22.5,18.1,0,circle
19.5,20.7,0,circle
29.0,19.9,0,circle
20.0,25.0,0,circle
43.8,23.8,0,circle
20.9,27.5,0,circle
16.0,19.3,0,circle
53.6,32.7,4,rectangle
39.0,19.3,4,rectangle
43.8,31.7,4,rectangle
44.1,20.3,4,rectangle
25.3,20.9,4,rectangle
25.1,30.6,4,rectangle
36.2,32.3,4,rectangle
38.3,25.4,4,rectangle
29.5,18.6,4,rectangle
26.3,23.0,4,rectangle
37.6,18.2,4,rectangle
43.1,23.6,4,rectangle
28.0,28.5,4,rectangle
27.6,22.2,4,rectangle
53.4,28.4,4,rectangle
45.4,32.8,4,rectangle
21.2,25.5,4,rectangle
54.4,21.3,4,rectangle
20.3,32.8,4,rectangle
29.3,33.1,4,rectangle
29.7,28.8,5,pentagon
56.5,23.5,5,pentagon
35.2,28.7,5,pentagon
29.5,23.9,5,pentagon
29.1,21.3,5,pentagon
51.6,32.1,5,pentagon
28.1,24.2,5,pentagon
51.7,25.0,5,pentagon
33.4,35.8,5,pentagon
39.7,26.4,5,pentagon
30.0,27.1,5,pentagon
47.8,34.7,5,pentagon
41.0,32.6,5,pentagon
38.8,33.8,5,pentagon
53.2,27.5,5,pentagon
41.1,23.4,5,pentagon
49.2,21.1,5,pentagon
52.4,21.3,5,pentagon
46.5,22.2,5,pentagon
58.6,24.3,5,pentagon
